user_id,age,subscription_plan,country,last_login_date,favorite_genre,monthly_watch_time_mins,customer_support_tickets
10000,39,Estándar,Brasil,2025-03-04,Crimen,806.0,4
10001,37,Estándar,Colombia,2019-04-02,Crimen,1173.0,2
10002,28,Básico,Colombia,2018-04-13,Crimen,401.0,0
10003,43,Básico,Uruguay,2021-01-31,Thriller,62.0,0
10004,51,Básico,Perú,2020-09-30,Thriller,478.0,1
10005,20,Básico,Uruguay,2020-07-03,Drama,670.0,2
10006,37,Básico,Perú,2019-07-26,Thriller,347.0,1
10007,31,Estándar,Chile,2019-02-24,Acción,975.0,1
10008,36,Premium,Colombia,2025-08-03,Romance,1432.0,2
10009,37,Estándar,Argentina,2024-02-12,Thriller,1375.0,1
10010,23,Básico,Argentina,2018-12-23,Drama,386.0,0
10011,46,Estándar,Brasil,2024-08-15,Comedia,1148.0,0
10012,15,Básico,Perú,2022-09-25,Acción,902.0,0
10013,43,Premium,Argentina,2018-05-11,Documental,1584.0,0
10014,45,Estándar,Perú,2018-05-03,Acción,1105.0,1
10015,29,Básico,Perú,2019-01-19,Romance,530.0,1
10016,24,Estándar,Perú,2020-06-14,Documental,986.0,0
10017,35,Estándar,Uruguay,2020-08-10,Comedia,1045.0,1
10018,32,Básico,Uruguay,2023-09-01,Acción,244.0,1
10019,30,Premium,Argentina,2024-10-01,Drama,874.0,1
10020,17,Básico,México,2018-04-19,Drama,224.0,1
10021,23,Básico,Argentina,2024-04-17,Thriller,288.0,0
10022,33,Básico,Argentina,2020-03-25,Drama,14.0,0
10023,33,Básico,Argentina,2025-04-15,Drama,660.0,0
10024,33,Premium,Perú,2025-11-12,Thriller,776.0,0
10025,18,Premium,Brasil,2024-02-11,Thriller,1891.625,1
10026,40,Básico,México,2022-09-15,Acción,724.0,2
10027,42,Premium,Uruguay,2020-06-21,Romance,846.0,0
10028,22,Premium,Argentina,2023-01-14,Documental,0.0,0
10029,29,Estándar,Chile,2024-08-10,Drama,1028.0,1
10030,46,Básico,Argentina,2021-02-13,Sin Especificar,599.0,3
10031,44,Básico,Argentina,2018-01-27,Documental,1122.0,1
10032,32,Básico,Brasil,2019-10-16,Drama,0.0,0
10033,33,Básico,Perú,2025-10-30,Documental,427.0,1
10034,31,Básico,Colombia,2022-09-28,Acción,309.0,1
10035,37,Estándar,Colombia,2021-10-25,Drama,1115.0,1
10036,41,Básico,México,2021-02-12,Drama,276.0,0
10037,33,Básico,Colombia,2019-09-29,Documental,1222.0,4
10038,59,Premium,Uruguay,2020-05-31,Romance,0.0,0
10039,26,Estándar,Chile,2021-10-10,Drama,590.0,0
10040,20,Básico,Chile,2019-02-23,Comedia,995.0,0
10041,39,Básico,Chile,2019-01-15,Documental,1119.0,0
10042,25,Básico,Uruguay,2022-04-06,Crimen,612.0,0
10043,32,Básico,México,2019-02-01,Romance,330.0,0
10044,15,Estándar,México,2022-01-10,Drama,1490.0,0
10045,29,Básico,Perú,2021-11-09,Acción,741.0,1
10046,27,Premium,Perú,2024-10-08,Thriller,1399.0,1
10047,53,Básico,Brasil,2020-12-19,Comedia,313.0,1
10048,26,Básico,Perú,2018-06-27,Comedia,823.0,0
10049,13,Básico,Argentina,2023-02-25,Romance,1082.0,0
10050,55,Estándar,Brasil,2024-01-06,Drama,980.0,2
10051,18,Básico,México,2019-05-27,Crimen,1140.0,0
10052,25,Básico,Colombia,2022-03-31,Acción,931.0,2
10053,27,Estándar,Brasil,2000-01-01,Romance,1201.0,0
10054,34,Estándar,Brasil,2024-03-11,Thriller,1092.0,4
10055,41,Estándar,Argentina,2021-04-15,Sin Especificar,1180.0,2
10056,40,Básico,Brasil,2025-01-18,Crimen,889.0,0
10057,28,Estándar,Perú,2024-12-08,Drama,814.0,1
10058,20,Básico,Perú,2025-12-31,Thriller,960.0,1
10059,39,Estándar,Brasil,2024-06-22,Drama,1891.625,2
10060,26,Básico,Perú,2020-02-27,Acción,672.0,1
10061,47,Básico,Colombia,2025-11-25,Drama,824.0,1
10062,15,Básico,Uruguay,2018-10-12,Thriller,280.0,2
10063,35,Estándar,Chile,2018-07-07,Romance,936.0,0
10064,36,Estándar,Brasil,2000-01-01,Thriller,592.0,2
10065,37,Estándar,Perú,2020-07-22,Thriller,1386.0,3
10066,16,Básico,México,2021-03-31,Sin Especificar,427.0,0
10067,15,Estándar,Brasil,2018-11-23,Drama,875.0,1
10068,36,Básico,Uruguay,2020-08-11,Romance,814.0,1
10069,21,Básico,Colombia,2025-12-31,Documental,816.0,0
10070,51,Estándar,Brasil,2022-04-06,Romance,237.0,2
